NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
562,W 1000  S,WOODS CROSS CITY,UT,84010,
1446,S 1615  E,OGDEN CITY,UT,84404,
77,N 1150  W,CEDAR CITY,UT,84720,
2651,W CARSON LN,WEST JORDAN CITY,UT,84084,
4389,S 500  W,MURRAY,UT,84123,
5498,S SOUTH WEBER DR,RIVERDALE,UT,84405,
1066,N WALBURK AVE,LAYTON,UT,84040,
917,S MAIN ST,LAYTON,UT,84041,
4756,S 2950  W,ROY CITY,UT,84067,
2188,E 8100  S,SOUTH WEBER,UT,84405,
580,N ALPINE BLVD,ALPINE,UT,84004,
350,E 700  S,SALT LAKE CITY,UT,84111,107
2430,S 1100  W,WOODS CROSS CITY,UT,84087,
3211,W 2200  N,PLAIN CITY,UT,84404,
3071,E GRANITE SLOPE LN,SANDY CITY,UT,84092,
311,N HIGHLAND DR,CEDAR CITY,UT,84721,
1755,S 440  W,WOODS CROSS CITY,UT,84010,
1984,PADDINGTON DR,PARK CITY,UT,84060,
4326,WASHINGTON ST,CLEARFIELD,UT,84056,
2764,W 3975  N,FARR WEST CITY,UT,84404,
843,E 300  S,PAYSON,UT,84651,
1877,E RIDGE RD,LAYTON,UT,84040,
1201,N 1250  E,LEHI,UT,84043,
1142,W 350  S,SPANISH FORK,UT,84660,
181,E 300  N,KANAB CITY,UT,84741,
1777,W 520  S,PROVO,UT,84601,
587,N FOXBORO DR,CITY OF NORTH SALT LAKE,UT,84054,
990,N LIBERTY AVE,OGDEN CITY,UT,84404,
2398,W 2650  N,CLINTON,UT,84015,
239,E SOUTH TEMPLE ST,SALT LAKE CITY,UT,84111,
2617,E 1650  N,LAYTON,UT,84040,
136,PARKWAY CIR,CLEARFIELD,UT,84015,
434,S 600  W,MILFORD,UT,84751,
6975,S UNION PARK CTR,COTTONWOOD HEIGHTS,UT,84047,180
3525,W ICE SKATE CIR,WEST JORDAN CITY,UT,84084,
665,E MAIN ST,WELLINGTON,UT,84542,
3529,W 3100  S,WEST VALLEY CITY,UT,84119,
6776,W PARKWAY BLVD,WEST VALLEY CITY,UT,84128,
979,E MANCHESTER RD,KAYSVILLE,UT,84037,
5377,W STONE CREEK DR,HIGHLAND,UT,84003,
699,W 1300  S,WOODS CROSS CITY,UT,84087,
247,S MAIN ST,HURRICANE CITY,UT,84737,
42,N GRANT AVE,AMERICAN FORK,UT,84003,
441,S 2080  E,SPRINGVILLE,UT,84663,
65,E COLUMBUS CT,SALT LAKE CITY,UT,84103,
2447,E RIO GRANDE DR,SPANISH FORK,UT,84660,
8032,S LISMORE LN,WEST JORDAN CITY,UT,84088,
8084,N ROCK CREEK COVE LN,EAGLE MOUNTAIN,UT,84005,
1337,E WOODLAND AVE,SALT LAKE CITY,UT,84106,
6140,W 10550  N,HIGHLAND,UT,84003,
630,S 1750  E,SPANISH FORK,UT,84660,
630,E NORMANDY LOOP LN,DRAPER CITY (SL CO),UT,84020,
3461,S 3570  E,MILLCREEK,UT,84109,
1274,N SONATA ST,SALT LAKE CITY,UT,84116,
8841,S REDWOOD RD,WEST JORDAN CITY,UT,84088,
2588,S ELIZABETH ST,SALT LAKE CITY,UT,84106,8
2116,N JONI DR,LAYTON,UT,84040,
1025,E 400  S,SALT LAKE CITY,UT,84102,4
950,PARK AVE,PARK CITY,UT,84060,135
1319,W 1950  N,CLINTON,UT,84015,
9923,S FLINT DR,SANDY CITY,UT,84094,
311,W CORNELL DR,MIDVALE,UT,84047,
1382,W 9950  S,SOUTH JORDAN,UT,84095,
5490,S 2350  W,ROY CITY,UT,84067,
12308,S MIDAS QUARRY RD,HERRIMAN TOWN,UT,84096,
1651,N 400  E,NORTH LOGAN,UT,84341,
525,E 39TH ST,SOUTH OGDEN,UT,84403,
21,QUIET MEADOW LN,MAPLETON,UT,84664,
1520,E FEDERAL HEIGHTS DR,SALT LAKE CITY,UT,84103,
2725,E 1170  S,ST GEORGE CITY,UT,84790,
282,E 1400  N,BOUNTIFUL,UT,84010,
111,N 200  E,SALEM,UT,84653,
1488,W 1460  N,PROVO,UT,84604,
8660,S IDA LN,SANDY CITY,UT,84093,
634,W 650  S,RICHFIELD CITY,UT,84701,
1231,E PARKWAY AVE,SALT LAKE CITY,UT,84106,
178,W MOJAVE HEIGHTS DR,ST GEORGE CITY,UT,84770,
825,N 660  W,WEST BOUNTIFUL,UT,84087,
1413,N OAKCREST CIR,CENTERVILLE,UT,84014,
1160,W 220  N,PROVO,UT,84601,
7478,S 2920  W,WEST JORDAN CITY,UT,84084,
1781,N 75  E,LAYTON,UT,84041,
579,E 300  N,KAYSVILLE,UT,84037,
2778,E 410  N,ST GEORGE CITY,UT,84790,
1189,E 700  S,ST GEORGE CITY,UT,84790,
5402,W LETICIA CT,WEST JORDAN CITY,UT,84081,
15287,S REINS WAY,BLUFFDALE (SL CO),UT,84065,
344,N DOVER LN,WASHINGTON CITY,UT,84780,
4911,S EASTLAKE DR,MURRAY,UT,84107,
464,W 720  S,TREMONTON,UT,84337,
501,W TEA ROSE CT,SARATOGA SPRINGS,UT,84045,
5959,S JAMAICA CIR,MURRAY,UT,84123,
152,E 800  N,TREMONTON,UT,84337,
2719,N EDGEWOOD DR,PROVO,UT,84604,
5519,W GRANTHAM LN,WEST VALLEY CITY,UT,84120,
9936,S GLACIER RIDGE DR,SANDY CITY,UT,84092,
3676,W 8030  S,WEST JORDAN CITY,UT,84088,
4145,S LAURELGREEN DR,WEST VALLEY CITY,UT,84120,
2664,N 330  E,NORTH LOGAN,UT,84341,
1529,E MURRAY HOLLADAY RD,MILLCREEK,UT,84117,
79,N 775  W,PAROWAN,UT,84761,
1126,E 100  S,SALT LAKE CITY,UT,84102,4
125,N 200  E,LAKETOWN,UT,84038,
470,S 1300  E,SALT LAKE CITY,UT,84102,38
1640,W ROENEWOOD CIR,TAYLORSVILLE CITY,UT,84123,
1881,E JUNIPER DR,EAGLE MOUNTAIN,UT,84005,
733,E 800  S,SALT LAKE CITY,UT,84102,
1147,W CLUBHOUSE DR,TAYLORSVILLE CITY,UT,84123,
126,N HAYSTACK MOUNTAIN DR,HEBER CITY,UT,84032,
6087,W 10550  N,HIGHLAND,UT,84003,
545,S MAPLE DR,WOODLAND HILLS,UT,84653,
406,E 10425  S,SANDY CITY,UT,84070,
1952,W 5600  S,ROY CITY,UT,84067,
1733,E SHADOW DR,EAGLE MOUNTAIN,UT,84005,
