NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
22.0,CAMELLA TEOLI WAY,LAWRENCE,MA,1841,
849.0,BOSTON POST ROAD EAST,MARLBOROUGH,MA,1752,
27.0,SOUTH STREET,WALTHAM,MA,2453,
28.0,CORNWALL STREET,JAMAICA PLAIN,MA,2130,
11.0,SYLVIA ROAD,NORTH READING,MA,1864,
,CHARLES STREET,MALDEN,MA,02148,
8.0,AMELIAN ROAD,RANDOLPH,MA,2368,
53.0,HIGHLAND STREET,CANTON,MA,2021,
38.0,ALDRICH ROAD,WATERTOWN,MA,2472,
0.0,GAULT ROAD,WAREHAM,MA,2576,
129.0,VILLAGE STREET,MARBLEHEAD,MA,1945,
1.0,ALLEGHANY STREET,ROXBURY,MA,2120,2.0
5.0,HEATHER LANE,MANSFIELD,MA,2048,
30.0,BIRCH AVENUE,METHUEN,MA,1844,
349.0,DANA FARMS,FAIRHAVEN,MA,2719,
26.0,LAUREL LANE,NORTHAMPTON,MA,1060,
15.0,WILLIAM PARKWAY,LEE,MA,1238,
265.0,LUCE ROAD,WILLIAMSTOWN,MA,1267,
485.0,GROVE STREET,WORCESTER,MA,1605,
37.0,KING JAMES DRIVE,DENNIS,MA,2660,
34.0,QUINTIN AVENUE,ATTLEBORO,MA,2703,4.0
1422.0,DWIGHT STREET,HOLYOKE,MA,1040,
89.0,EAST HODGES STREET,NORTON,MA,2766,
949.0,LOCUST STREET,FALL RIVER,MA,2720,1.0
21.0,HIGHLAND AVENUE,HARWICH,MA,2645,
141.0,SAVIN HILL AVENUE,DORCHESTER,MA,2125,
274.0,HOLYOKE ROAD,WESTFIELD,MA,1085,
20.0,OLD ORCHARD STREET,GROTON,MA,1450,
21.0,OTIS STREET,MANSFIELD,MA,2048,
36.0,MELROSE STREET,ADAMS,MA,1220,
75.0,WELLS STREET,GREENFIELD,MA,1301,
172.0,VALLEY STREET,PEMBROKE,MA,2359,
26.0,CARLETON ROAD,LEICESTER,MA,1542,
34.0,LOCUST STREET,DANVERS,MA,1923,1.0
7.0,WATERVIEW TERRACE,SOUTHBOROUGH,MA,1772,
0.0,NAUSET BEACH,ORLEANS,MA,2653,
614.0,POND STREET,BRAINTREE,MA,2184,
14.0,STONEY STREAM LANE,LITTLETON,MA,1460,
3.0,GIDDIAH HILL ROAD,ORLEANS,MA,2653,2.0
399.0,RED BROOK ROAD,MASHPEE,MA,02649,
14.0,ANNIS STREET,METHUEN,MA,1844,
99.0,SECOND STREET,PITTSFIELD,MA,1201,303.0
28.0,OLD ROAD,DRACUT,MA,1826,
146.0,COUNTY STREET,SOMERSET,MA,2726,
85.0,WAHCONAH STREET,PITTSFIELD,MA,1201,
75.0,SHAWMUT STREET,FALL RIVER,MA,2720,
255.0,GREAT ROAD,BEDFORD,MA,1730,
110.0,ORLEANS STREET,EAST BOSTON,MA,2128,
76.0,PUTNAM ROAD,SOMERVILLE,MA,2145,
35.0,HARRINGTON AVENUE,SHREWSBURY,MA,1545,5412.0
20.0,DIXWELL STREET,JAMAICA PLAIN,MA,2119,3.0
759.0,WASHINGTON STREET,WHITMAN,MA,2382,
14.0,GRANAUDO CIRCLE,SOUTHWICK,MA,01077,
11.0,OLD FARM CIRCLE,WAYLAND,MA,1778,
4.0,SOUTHVIEW WAY,FALMOUTH,MA,02536,
34.0,CATHY LANE,BARRE,MA,1005,
11.0,PAYSON ROAD,BELMONT,MA,2478,
215.0,STATE STREET,NORTHAMPTON,MA,1060,2.0
,JOYCE STREET,LYNN,MA,1902,
26.0,CONGRESS STREET,SALISBURY,MA,1952,
95.0,UNIVERSITY AVENUE,WESTWOOD,MA,2090,38.0
17.0,ROBINSON STREET,CAMBRIDGE,MA,2138,
79.0,SHERWOOD CIRCLE,EAST BRIDGEWATER,MA,2333,
170.0,CANTON STREET,STOUGHTON,MA,2072,
407.0,EAST FIFTH STREET,SOUTH BOSTON,MA,2127,
11.0,ROBERT DYER CIRCLE,SPRINGFIELD,MA,1109,
8.0,MCGURK STREET,NEW BEDFORD,MA,2744,1.0
2.0,COLONIAL ROAD,LYNNFIELD,MA,1940,
10.0,AUBURN STREET,LYNN,MA,1904,
12.0,MONTCLAIR AVENUE,WALTHAM,MA,2451,
95.0,PLAIN STREET,BRIDGEWATER,MA,2324,
24.0,KNOLLWOOD ROAD,SOUTHWICK,MA,01077,
91.0,RIVER ROAD,PEPPERELL,MA,1463,
33.0,MARTIN ROAD SOUTH,AMESBURY,MA,1913,
81.0,BARDWELL STREET,SOUTH HADLEY,MA,1075,
30.0,HASTINGS ROAD,SOUTHWICK,MA,1077,
280.0,SCHOOL STREET,MANSFIELD,MA,2048,
887.0,GREAT ISLAND ROAD,YARMOUTH,MA,2673,
647.0,BOYLSTON STREET,BOSTON,MA,02116,
37.0,PAYNE ROAD,NEWTON,MA,2459,
18.0,BRATTLEBORO ROAD,BERNARDSTON,MA,1337,
2.0,SUOSSO LANE,PLYMOUTH,MA,2360,
27.0,CHARTER STREET,SALEM,MA,1970,410.0
1.0,FREEDOM FARME ROAD,ACTON,MA,1720,
31.0,OLIVER STREET,MILFORD,MA,1757,2.0
35.0,DERBY STREET,GLOUCESTER,MA,1930,
5.0,CALAMINT HILL ROAD SOUTH,PRINCETON,MA,1541,
57.0,KIMBALL BEACH ROAD,HINGHAM,MA,2043,
10.0,STRATHMORE ROAD,BROOKLINE,MA,2445,10.0
79.0,WESTWOOD DRIVE,STURBRIDGE,MA,1566,
101.0,MAPLEWOOD AVENUE,GLOUCESTER,MA,1930,
124.0,MAIN STREET,MONSON,MA,1057,3.0
40.0,WATER STREET,EAST BRIDGEWATER,MA,2333,
80.0,KINGSTON STREET,LAWRENCE,MA,1843,
20.0,CHARLES STREET,BRIDGEWATER,MA,2324,
95.0,MADISON AVENUE,EVERETT,MA,2149,
34.0,ROWE STREET,NEWTON,MA,2466,
55.0,TWENTY-FIRST STREET NORTH,EDGARTOWN,MA,02539,
85.0,SUFFOLK STREET,CHELSEA,MA,2150,
37.0,SIMOND HILL ROAD,HUBBARDSTON,MA,1452,
86.0,SCARBOROUGH ROAD,BREWSTER,MA,2631,
49.0,GLEN DRIVE,NORTHBRIDGE,MA,1588,
4.0,PARK MANOR WAY,WELLESLEY,MA,2481,313.0
9.0,BOBWHITE CRESCENT,MASHPEE,MA,2649,
223.0,POWDER HOUSE BOULEVARD,SOMERVILLE,MA,2144,3.0
16.0,LELAND ROAD,WEST BROOKFIELD,MA,1585,
211.0,MIDDLE ROAD,SOUTHBOROUGH,MA,1772,
1367.0,PAWTUCKET BOULEVARD,LOWELL,MA,1854,14.0
3113.0,HOMESTEAD BOULEVARD,WESTBOROUGH,MA,1581,
,GOODWIN STREET,INDIAN ORCHARD,MA,1151,
13.0,GOULD STREET,STONEHAM,MA,2180,
6.0,BERNARD ROAD,DRACUT,MA,1826,
3.0,HOMESTEAD CIRCLE,BEDFORD,MA,1730,
13.0,INDIAN HILL STREET,WEST NEWBURY,MA,1985,
28.0,WILCOCK STREET,DORCHESTER,MA,2124,
63.0,LINCOLN STREET,CAMBRIDGE,MA,2141,
20.0,POMEROY MEADOW ROAD,SOUTHAMPTON,MA,1073,
26.0,PEIRCE ROAD,LYNN,MA,1902,
71.0,ORANGE STREET,CHELSEA,MA,2150,1.0
3.0,THORNDYKE ROAD,WORCESTER,MA,1606,
297.0,WAVERLEY AVENUE,WATERTOWN,MA,2472,
44.0,BURBANK STREET,BOSTON,MA,2115,5.0
1610.0,WORCESTER ROAD,FRAMINGHAM,MA,1702,331.0
16.0,BLACKSTONE STREET,MENDON,MA,1756,
131.0,COOLIDGE AVENUE,WATERTOWN,MA,2472,521.0
20.0,BROOK STREET,SCITUATE,MA,2066,
38.0,RED FOX CROSSING,TEMPLETON,MA,1436,
64.0,NORTH HIGH STREET,FOXBOROUGH,MA,2035,
216.0,MAPLE STREET,DANVERS,MA,1923,
302.0,BRANDYWYNE DRIVE,EAST BOSTON,MA,2128,
380.0,WINTHROP STREET,TAUNTON,MA,2780,
420.0,WASHINGTON STREET,HAVERHILL,MA,1832,
174.0,FEDERAL STREET,BELCHERTOWN,MA,1007,
135.0,BELMONT AVENUE,SPRINGFIELD,MA,1108,11.0
43.0,MEADOWBROOK ROAD,SPRINGFIELD,MA,1128,
658.0,CAMBRIDGE STREET,FALL RIVER,MA,2721,
30.0,FERNCREST DRIVE,TAUNTON,MA,2780,
16.0,LINCOLN STREET,BOSTON,MA,2111,
51.0,PETTEE STREET,NEWTON,MA,2464,16.0
150.0,STANIFORD STREET,BOSTON,MA,2114,209.0
513.0,HIGH STREET,DEDHAM,MA,2026,
50.0,LEXINGTON ROAD,BILLERICA,MA,1821,
2.0,D STREET,WINCHESTER,MA,1890,
141.0,LABELLE CIRCLE,CHICOPEE,MA,1020,
25.0,ARMORY ROAD,BOURNE,MA,2532,
83.0,FINLAY ROAD,ORLEANS,MA,2653,
19.0,CRAIGIE TERRACE,NEWTON,MA,2460,
570.0,EAST MOUNTAIN ROAD,WESTFIELD,MA,1085,
278.0,MANNING STREET,HUDSON,MA,1749,202.0
133.0,SOUTH WASHINGTON STREET,BELCHERTOWN,MA,1007,
15.0,LESLEY AVENUE,SOMERVILLE,MA,2144,2.0
137.0,DRIFT ROAD,WESTPORT,MA,2790,
6.0,GREENBRIAR DRIVE,NORTH READING,MA,1864,102.0
325.0,SALT WORKS ROAD,EASTHAM,MA,2642,
91.0,SANFORD STREET,MELROSE,MA,02176,
77.0,MORELAND STREET,ROXBURY,MA,2119,
