NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
0.0,Summerfield Court,Alpharetta,GA,30009,
211.0,EDGEWATER RD,Chatham,GA,31406,58.0
4505.0,Club Drive  NE,Atlanta,GA,30319,
190.0,BAXTER DR,Athens,GA,30606,
2804.0,Pepperdine Dr,Hephzibah,GA,30815,
4457.0,Lashley Drive,TUCKER,GA,30084,
3211.0,Wrightsboro Rd,Augusta,GA,30909,
10156.0,Rivertown Road,Chattahoochee Hills,GA,30213,
430.0,PITTS CHAPEL RD,Newborn,GA,30056    ,
2445.0,BEAVER RUIN RD,NORCROSS,GA,30071,
705.0,ALLEN AV, ,GA,31639,
2036.0,Chastain Park Court  NE,Atlanta,GA,30342,
210.0,MONTY DR,ATHENS,GA,30601,
133.0,FISCHER SPUR RD,NEWNAN,GA,30265,
2698.0,Flagstone Drive,ATLANTA,GA,30316,
9336.0,LANTANA TRL,JONESBORO,GA,30238,
6298.0,OAKWOOD CIR,NORCROSS,GA,30093,
175.0,WHITE ST,Marietta,GA,30060,
340.0,ADAMS LANDING DR,LAWRENCEVILLE,GA,30046,
5710.0,North  Hillbrooke Trace,Johns Creek,GA,30005,
3552.0,Cape York Trace,Alpharetta,GA,30022,
2141.0,Springdale Road  SW,Atlanta,GA,30315,916.0
1448.0,Norris Lake Drive,SNELLVILLE,GA,30039,
509.0,EARLY ST,Chatham,GA,31405,
1345.0,S MAIN ST,Hinesville,GA,31313,
4035.0,Ridgefair Dr,Cumming,GA,30040,
848.0,STILL HILL LN,LAWRENCEVILLE,GA,30045,
10760.0,Glenhurst Pass,Johns Creek,GA,30097,
4224.0,Oakwoods Court,STONE MOUNTAIN,GA,30083,
253.0,Somerset Cir,Woodstock,GA,30189,
1453.0,GREENSBORO WAY,GRAYSON,GA,30017,
272.0,BRANCH VALLEY WAY,Paulding,GA,30132,
2582.0,Tara Heights Cir,Augusta,GA,30906,
40.0,EAST LAWN DR,Covington,GA,30016    ,
2280.0,HARBIN OAKS DR,DACULA,GA,30019,
617.0,BREWER ST,Chatham,GA,31401,
1221.0,SANTA FE TRL,MACON,GA,31220,
3775.0,Martin Luther King Jr Drive  SW,Atlanta,GA,30331,
2301.0,COLLEGE STATION RD,Athens,GA,30605,
220.0,Bristol Stone Court,Johns Creek,GA,30005,
2409.0,Birdie Dr,Augusta,GA,30906,
731.0,SHERWOOD DR,JONESBORO,GA,30236,
4315.0,S LEE ST,BUFORD,GA,30518,
2659.0,SNOWSHOE BND,BETHLEHEM,GA,30620,
10601.0,ABERCORN ST,Chatham,GA,31419,
