NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
2923,W 17TH ST,LITTLE ROCK,AR,72204,
201,HIAWATHA DR,LITTLE ROCK,AR,72205,
4636,N   COLLEGE AVE,FAYETTEVILLE,AR,72703,
1315,S MONROE ST,LITTLE ROCK,AR,72204,
120,N TAYLOR ST,LITTLE ROCK,AR,72205,1
12215,NATURAL STEPS DR,PULASKI COUNTY,AR,72135,
6215,RANCH DR,LITTLE ROCK,AR,72223,
14818,HIGHWAY 107,SHERWOOD,AR,72076,
2600,JOHN ASHLEY DR,NORTH LITTLE ROCK,AR,72114,
8500,TRAIL CREEK DR,SHERWOOD,AR,72120,
4110,DRISKILL DR,PULASKI COUNTY,AR,72023,
207,S HOSPITAL BLVD,JACKSONVILLE,AR,72076,
2608,CROUCHWOOD RD,LITTLE ROCK,AR,72207,
10909,MONA LN,PULASKI COUNTY,AR,72206,
20923,HENRY ST,PULASKI COUNTY,AR,72135,
149,KENTUCKY CIR,JACKSONVILLE,AR,72076,
4102,N   MALL AVE,FAYETTEVILLE,AR,72703,104
3899,N   SASSAFRAS HILL RD, ,AR,72703,
3200,MOSSY CREEK DR,LITTLE ROCK,AR,72211,
18923,SHORELINE WAY, ,AR,72703,
2809,N   CROSSOVER RD,FAYETTEVILLE,AR,72703,
836,CLIFTON CV,PULASKI COUNTY,AR,72076,
11273,HIGHWAY 62   W,Harrison,AR,72602,
258,S   CHURCH AVE,FAYETTEVILLE,AR,72701,12
2996,N   GREGG AVE,FAYETTEVILLE,AR,72703,
1821,MARLYN DR,LITTLE ROCK,AR,72205,
1602,SENIOR PARKWAY DR,Harrison,AR,72601,
23,WATERS EDGE DR,LITTLE ROCK,AR,72204,
512,E CHARLES BUSSEY AVE,LITTLE ROCK,AR,72206,
12221,MCALISTER RD,PULASKI COUNTY,AR,72206,
2003,WELLINGTON PLANTATION DR,LITTLE ROCK,AR,72211,
1,CHILDRENS WAY,LITTLE ROCK,AR,72202,
4706,WEST ST,NORTH LITTLE ROCK,AR,72118,
12073,PAUL EELLS DR,NORTH LITTLE ROCK,AR,72113,102
104,WILDFLOWER DR,SHERWOOD,AR,72076,
615,DONOVAN BRILEY BLVD,NORTH LITTLE ROCK,AR,72118,
120,RIVER MARKET AVE,LITTLE ROCK,AR,72201,
2400,MCCAIN BLVD,NORTH LITTLE ROCK,AR,72116,2061
13501,OLD RIVER DR,PULASKI COUNTY,AR,72142,
624,N   COPERNICUS PL,FAYETTEVILLE,AR,72704,
4724,W 13TH ST,LITTLE ROCK,AR,72204,
2167,W   MARTIN LUTHER KING BLVD,FAYETTEVILLE,AR,72701,
711,E BETHANY RD,NORTH LITTLE ROCK,AR,72117,
1753,E   ZION RD,FAYETTEVILLE,AR,72703,
58,TOURNAY CIR,LITTLE ROCK,AR,72223,
198,E  PALMETTO DR,FAYETTEVILLE,AR,72703,104
17809,CHENAL PKY,LITTLE ROCK,AR,72223,
11213,MARA LYNN RD,LITTLE ROCK,AR,72211,
18526,BEAV-O-RAMA RD, ,AR,72703,
4872,W   INDIGO DR, ,AR,72704,
9120,RICKY LN,LITTLE ROCK,AR,72209,
801,BRADEN ST,JACKSONVILLE,AR,72076,
1004,GRAYLAND DR,JACKSONVILLE,AR,72076,
6321,FORBING RD,LITTLE ROCK,AR,72209,
2406,E HIGHWAY 89,PULASKI COUNTY,AR,72023,
11505,CANADA LN,PULASKI COUNTY,AR,72135,
414,E CAPITOL AVE,Pulaski,AR,72202,313
1515,W 34TH ST,LITTLE ROCK,AR,72206,
901,W CHARLES BUSSEY AVE,LITTLE ROCK,AR,72206,6
921,ASBURY RD,LITTLE ROCK,AR,72211,
10015,RONALD DR,LITTLE ROCK,AR,72205,
7561,HIGHWAY 65,Harrison,AR,72602,
2001,RESERVOIR RD,LITTLE ROCK,AR,72227,38
484,BEAR PAW RD,SHERWOOD,AR,72120,
3812,PATRICK HENRY DR,LITTLE ROCK,AR,72209,
32,COMPASS PT,PULASKI COUNTY,AR,72120,
2000,MAGNOLIA AVE,LITTLE ROCK,AR,72202,
507,W 31ST ST,LITTLE ROCK,AR,72206,
7001,CANTRELL RD,LITTLE ROCK,AR,72207,
2709,E MARYLAND AVE,SHERWOOD,AR,72120,
2982,N  ADAMS RD, ,AR,72704,
3124,S ARCH ST,LITTLE ROCK,AR,72206,
2911,N   SUSAN CAROL LN,FAYETTEVILLE,AR,72703,
3,E  APPLEBY RD,FAYETTEVILLE,AR,72703,402
2920,LENNOX DR,LITTLE ROCK,AR,72204,
2405,OZARK DR,NORTH LITTLE ROCK,AR,72116,
3125,E   CHEROKEE DR,FAYETTEVILLE,AR,72701,
4809,STAGECOACH RD,LITTLE ROCK,AR,72204,
315,W 22ND ST,LITTLE ROCK,AR,72206,
8343,COUNTS MASSIE RD,NORTH LITTLE ROCK,AR,72113,304
601,NAPA VALLEY DR,LITTLE ROCK,AR,72211,812
1501,S OAK ST,LITTLE ROCK,AR,72204,
12815,SECRETARIAT DR,NORTH LITTLE ROCK,AR,72142,
6416,OSAGE DR,NORTH LITTLE ROCK,AR,72116,
8533,OMAN RD,LITTLE ROCK,AR,72209,
330,W   5TH ST,FAYETTEVILLE,AR,72701,
12417,PLEASANT FOREST DR,LITTLE ROCK,AR,72212,
17,W   OLD DEPOT RD,FARMINGTON,AR,72730,
119,E D AVE,NORTH LITTLE ROCK,AR,72116,
15,OZARK DR,MAUMELLE,AR,72113,
1426,N   MERION WAY,FAYETTEVILLE,AR,72704,201
1917,S   FESCUE CT,FAYETTEVILLE,AR,72701,
9906,W 36TH ST,LITTLE ROCK,AR,72204,
3400,S BOWMAN RD,LITTLE ROCK,AR,72211,
1800,BROADWAY ST,LITTLE ROCK,AR,72206,902
1460,W   JUNCTION ST,FAYETTEVILLE,AR,72701,6
8101,FRENCHMANS LN,LITTLE ROCK,AR,72209,
982,N   LANCELOT AVE,FAYETTEVILLE,AR,72701,
1100,HUGHES ST,JACKSONVILLE,AR,72076,
131,MARGEAUX DR,MAUMELLE,AR,72113,
816,N ROWLAND ST,Harrison,AR,72602,
2716,CALICO CREEK DR,NORTH LITTLE ROCK,AR,72116,
2101,VALMAR ST,LITTLE ROCK,AR,72204,
109,MAUMELLE VALLEY DR,MAUMELLE,AR,72113,
1641,N   MERION WAY,FAYETTEVILLE,AR,72704,103
8935,YELLOW OAK CT,PULASKI COUNTY,AR,72076,
1701,N BRYANT ST,LITTLE ROCK,AR,72207,69
8500,MICHAEL CT,LITTLE ROCK,AR,72204,120
13512,EL RD,PULASKI COUNTY,AR,72206,
9601,BAPTIST HEALTH DR,LITTLE ROCK,AR,72205,860
10115,LANEHART RD,LITTLE ROCK,AR,72204,
121,KENTUCKY CIR,JACKSONVILLE,AR,72076,
19,WOODGLEN RD,LITTLE ROCK,AR,72207,
933,S   HOLLYWOOD AVE,FAYETTEVILLE,AR,72701,
12,TARA MOUNT DR,JACKSONVILLE,AR,72076,
9204,LYNDELLA CT,LITTLE ROCK,AR,72204,
1670,W   MARTIN LUTHER KING BLVD,FAYETTEVILLE,AR,72701,
10709,PAUL EELLS DR,NORTH LITTLE ROCK,AR,72113,20
3350,W HENSLEY RD,PULASKI COUNTY,AR,72065,
3401,ATWOOD RD,PULASKI COUNTY,AR,72206,
11511,GARRISON RD,PULASKI COUNTY,AR,72223,
15,PAR DR,LITTLE ROCK,AR,72210,12
3747,BAUGHMAN CUTOFF RD,Harrison,AR,72602,
21,AUGUSTA CT,LITTLE ROCK,AR,72210,103
12,GEORGEANN CIR,JACKSONVILLE,AR,72076,
457,N   MISSION BLVD,FAYETTEVILLE,AR,72701,
3875,N   STEELE BLVD,FAYETTEVILLE,AR,72703,110
903,W   DAVIS ST,FAYETTEVILLE,AR,72703,
609,CLOVERDALE RD,JACKSONVILLE,AR,72076,
4,FRA MAR PL,SHERWOOD,AR,72076,
531,N   SCOTTSDALE DR,FAYETTEVILLE,AR,72701,6
12205,SPECTRUM RD,PULASKI COUNTY,AR,72142,
1912,GREEN MOUNTAIN DR,LITTLE ROCK,AR,72212,367
1310,W ROOSEVELT RD,LITTLE ROCK,AR,72206,
2020,HINSON LOOP RD,LITTLE ROCK,AR,72212,932
1001,QUINCE HILL RD,JACKSONVILLE,AR,72076,12
2911,N   CHARLESTON XING,FAYETTEVILLE,AR,72703,
820,PARKER ST,NORTH LITTLE ROCK,AR,72114,
36,WINDSOR DR,LITTLE ROCK,AR,72209,
